t,x,y,dx/dtime,dy/dtime
31.8,-0.7053837007262158,1.7078744927356766,1.7078744927356766,1.1344306660544836
31.9,-0.5345962514526481,1.821317559341125,1.821317559341125,1.1849949880234698
32.0,-0.3524644955185356,1.939817058143472,1.939817058143472,1.2018801041522376
32.1,-0.1584827897041884,2.060005068558696,2.060005068558696,1.162614961859168
32.2,0.04751771715168121,2.176266564744613,2.176266564744613,1.0381586326915813
32.3,0.2651443736261425,2.280082428013771,2.280082428013771,0.7947501886658528
32.4,0.4931526164275196,2.359557446880356,2.359557446880356,0.39970450771666866
32.5,0.7291083611155552,2.399527897652023,2.399527897652023,-0.1671377304193049
32.6,0.9690611508807575,2.3828141246100922,2.3828141246100922,-0.8964800537956503
32.7,1.2073425633417667,2.293166119230527,2.293166119230527,-1.732106186556432
32.8,1.4366591752648195,2.119955500574884,2.119955500574884,-2.5644644628273157
32.9,1.6486547253223078,1.8635090542921522,1.8635090542921522,-3.2494671475422425
33.0,1.835005630751523,1.538562339537928,1.538562339537928,-3.656083144968453
33.1,1.9888618647053158,1.1729540250410826,1.1729540250410826,-3.722236618215378
33.2,2.106157267209424,0.8007303632195448,0.8007303632195448,-3.481771367818274
33.3,2.1862303035313784,0.45255322643771745,0.45255322643771745,-3.0414660561244733
33.4,2.23148562617515,0.14840662082527012,0.14840662082527012,-2.526779785062365
33.5,2.246326288257677,-0.10427135768096635,-0.10427135768096635,-2.0353862808868333
33.6,2.2358991524895804,-0.3078099857696497,-0.3078099857696497,-1.620395376125861
33.7,2.2051181539126152,-0.4698495233822358,-0.4698495233822358,-1.2977104382590854
33.8,2.1581332015743917,-0.5996205672081443,-0.5996205672081443,-1.061565421954131
33.9,2.0981711448535774,-0.7057771094035574,-0.7057771094035574,-0.8975305976176255
