time,x,y
49.9,-0.4088990435,1.806750319
50,-0.222436768,1.922084617
50.1,-0.0246736334,2.031581233
50.2,0.1834047601,2.126732848
50.3,0.3998196599,2.196214048
50.4,0.6213450336,2.226615644
50.5,0.8433847799,2.204377883
50.6,1.06010556,2.118913379
50.7,1.264914937,1.966188554
50.8,1.451259255,1.751255789
50.9,1.613555508,1.488208142
51,1.747965761,1.197142001
51.1,1.85276416,0.8993662351
51.2,1.928224174,0.6129442217
51.3,1.976147439,0.3501451222
51.4,1.999250385,0.1170927891
51.5,2.000598631,-0.08509033234
51.6,1.983190219,-0.258593118
51.7,1.949705151,-0.4073607377
51.8,1.902390107,-0.5359643637
51.9,1.843033549,-0.6489159978
52,1.772991008,-0.7503273438
52.1,1.693232454,-0.8437900034
52.2,1.604394916,-0.932378534
52.3,1.506831687,-1.018706385
52.4,1.4006545,-1.104995504
52.5,1.285770607,-1.193130455
52.6,1.16191374,-1.284685045
52.7,1.028678062,-1.380894178
52.8,0.8855522273,-1.482574929
52.9,0.731972102,-1.589951287
53,0.567392018,-1.70238393
53.1,0.3913884419,-1.817970275
53.2,0.2038125451,-1.933032662
53.3,0.004996423955,-2.041561195
53.4,-0.203991852,-2.13476895
53.5,-0.4210629999,-2.201079255
53.6,-0.6428604594,-2.226966518
53.7,-0.8646577784,-2.199004179
53.8,-1.080521704,-2.107085447
53.9,-1.283824618,-1.947975649
54,-1.468066101,-1.727652252
54.1,-1.627803035,-1.460961974
54.2,-1.759393327,-1.16833945
54.3,-1.861316415,-0.8709527878
54.4,-1.934017951,-0.5863794808
54.5,-1.979415049,-0.3262788781
54.6,-2.000280726,-0.09622601928
54.7,-1.999689524,0.1030517361
54.8,-1.980617249,0.2739754053
54.9,-1.945705216,0.420592386
55,-1.897155879,0.5474914886
55.1,-1.836714236,0.6591565456
55.2,-1.765696307,0.7596516462
55.3,-1.685037667,0.8525172076
55.4,-1.595345823,0.9407798238
55.5,-1.496948848,1.027012763
55.6,-1.389937642,1.113402953
55.7,-1.274200698,1.201805238
55.8,-1.149457762,1.293760687
55.9,-1.015289734,1.390471207
56,-0.871178657,1.492702902
56.1,-0.7165589228,1.600613243
56.2,-0.5508901497,1.713457976
56.3,-0.3737689712,1.829186403
56.4,-0.1850834446,1.943921818
56.5,0.01477648235,2.051399502
56.6,0.2246557348,2.142554571
56.7,0.4423516116,2.205569132
56.8,0.6643768027,2.226813736
56.9,0.8858758789,2.193029004
57,1.100820324,2.094623294
57.1,1.302555274,1.92918363
57.2,1.484642581,1.703609869
57.3,1.641786024,1.43347256
57.4,1.770542348,1.139495729
57.5,1.869594642,0.8426641885
57.6,1.939555983,0.5600483228
57.7,1.982453293,0.3026970177
57.8,2.001110776,0.0756492011
57.9,1.998608132,-0.1207471871
58,1.977896712,-0.2891303442
58.1,1.94157831,-0.4336399386
58.2,1.891810958,-0.5588766328
58.3,1.830296485,-0.6692931792
58.4,1.758311897,-0.7689051685
58.5,1.676758741,-0.8612015236
58.6,1.586215547,-0.9491625747
58.7,1.48698591,-1.035320814
58.8,1.379139266,-1.121829586
58.9,1.262547074,-1.210512089
59,1.13691309,-1.302881354
59.1,1.00180879,-1.400099487
59.2,0.8567070899,-1.502885665
59.3,0.7010423062,-1.611321708
59.4,0.5342815735,-1.724559944
59.5,0.3560414722,-1.840395806
59.6,0.1662490235,-1.954745536
59.7,-0.03464364654,-2.061088278
59.8,-0.2453932405,-2.150079502
59.9,-0.4636816488,-2.20966756
60,-0.6858891647,-2.22614343
60.1,-0.90703333,-2.186444305
60.2,-1.120995592,-2.081527753
60.3,-1.321101791,-1.909823842
60.4,-1.500984857,-1.679148585
60.5,-1.655502423,-1.405761043
60.6,-1.781412632,-1.110628501
60.7,-1.877600323,-0.8145129385
60.8,-1.94484097,-0.5339576866
60.9,-1.985265237,-0.2794017094
61,-2.001743534,-0.05536062558
61.1,-1.997357135,0.1381800338
61.2,-1.975030938,0.3040621536
61.3,-1.9373263,0.4465078204
61.4,-1.886356784,0.5701238599
61.5,-1.823781356,0.67932939
61.6,-1.750838462,0.7780907674
61.7,-1.668396208,0.8698458849
61.8,-1.577004502,0.9575286559
61.9,-1.476942645,1.043632458
62,-1.368259661,1.130276635
62.1,-1.250808958,1.219254549
62.2,-1.124281032,1.312047787
62.3,-0.9882344062,1.409780741
62.4,-0.842137372,1.513121253
62.5,-0.6854218938,1.622076919
62.6,-0.5175651305,1.735686988
62.7,-0.3382059628,1.851592607
62.8,-0.1473106793,1.965496525
62.9,0.05460407075,2.070617123
63,0.2662023995,2.157332748
63.1,0.4850493114,2.21336417
63.2,0.7073925495,2.224945981
63.3,0.9281242523,2.179245091
63.4,1.141041313,2.067801001
63.5,1.33945857,1.889905606
63.6,1.517088819,1.654283519
63.7,1.668949973,1.377845931
63.8,1.792003878,1.081755274
63.9,1.885334638,0.7865119191
64,1.949874916,0.5081142564
64.1,1.987853343,0.2563946743
64.2,2.002181501,0.0353590317
64.3,1.99593885,-0.155353631
64.4,1.972021829,-0.3187749225
64.5,1.932950701,-0.4592000254
64.6,1.880794494,-0.5812368693
64.7,1.817169639,-0.6892685067
64.8,1.743276491,-0.7872112617
64.9,1.659950183,-0.8784525432
65,1.567712634,-0.9658804313
65.1,1.466818984,-1.051949242
65.2,1.357298062,-1.138745609
65.3,1.23898642,-1.228033371
65.4,1.111559689,-1.321260034
65.5,0.9745663531,-1.419514947
65.6,0.8274678449,-1.523410212
65.7,0.6696974714,-1.632875455
65.8,0.5007414806,-1.746837909
65.9,0.3202618013,-1.862773089
66,0.1282684196,-1.97616793
66.1,-0.07465521736,-2.079976268
66.2,-0.2870800272,-2.164298087
66.3,-0.5064507562,-2.216643908
66.4,-0.7288817049,-2.223209998
66.5,-0.9491425025,-2.171425612
66.6,-1.160951238,-2.053446472
66.7,-1.357620107,-1.869443285
66.8,-1.532950565,-1.629035432
66.9,-1.682126913,-1.349749049
67,-1.80231615,-1.052894001
67.1,-1.892799139,-0.7586730861
67.2,-1.95466043,-0.4825247687
67.3,-1.990220607,-0.2336775822
67.4,-2.002427633,-0.01564246962
67.5,-1.994355873,0.1722715212
67.6,-1.968871635,0.3332727692
67.7,-1.928453318,0.4717208035
67.8,-1.875125466,0.5922195337
67.9,-1.810462345,0.6991138319
68,-1.735626724,0.7962697209
68.1,-1.651421273,0.8870238908
68.2,-1.55834006,0.9742196118
68.3,-1.456614952,1.060273238
68.4,-1.346254696,1.147238321
68.5,-1.227078531,1.236847639
68.6,-1.098749052,1.330520419
68.7,-0.9608037798,1.429301072
68.8,-0.8126991359,1.53375213
68.9,-0.6538684157,1.643717982
69,-0.4838098358,1.758008127
69.1,-0.302210279,1.873931734
69.2,-0.1091236449,1.986752118
69.3,0.09479624331,2.089155977
69.4,0.3080236628,2.170968502
69.5,0.5278817862,2.21949644
69.6,0.750351529,2.220926152
69.7,0.9700823273,2.162982302
69.8,1.180719608,2.03846803
69.9,1.375581529,1.848447139
70,1.548566728,1.60342062
70.1,1.695031682,1.321488389
70.2,1.812349854,1.024061087
70.3,1.899995662,0.7310080117
70.4,1.95920006,0.4571943434
70.5,1.99236987,0.2112512539
70.6,2.002484727,-0.003790980807
70.7,1.992610773,-0.1889374012
70.8,1.965582476,-0.3475599994
70.9,1.923835869,-0.4840742623
71,1.869351041,-0.6030756012
71.1,1.803660472,-0.7088687025
71.2,1.727889797,-0.8052686953
71.3,1.64280974,-0.8955624456
71.4,1.548887137,-0.9825485129
71.5,1.446330496,-1.068605895
71.6,1.33512918,-1.155755692
71.7,1.215085528,-1.245701708
71.8,1.085849081,-1.339828226
71.9,0.9469466689,-1.439142798
72,0.797829999,-1.544145239
72.1,0.637934716,-1.654602077
72.2,0.4667699495,-1.769195659
72.3,0.284050565,-1.885062958
72.4,0.0898775789,-1.9972412
72.5,-0.1150248941,-2.098144426
72.6,-0.3290304041,-2.177327563
72.7,-0.5493382891,-2.221908526
72.8,-0.7717964889,-2.218084353
72.9,-0.9909373455,-2.153910928
73,-1.200339981,-2.022870503
73.1,-1.393337266,-1.826931656
73.2,-1.563933525,-1.577458697
73.3,-1.707662567,-1.293085021
73.4,-1.822105007,-0.9952734686
73.5,-1.906925539,-0.70352767
73.6,-1.963495941,-0.4321288712
73.7,-1.99430374,-0.1891167362
73.8,-2.002355311,0.02294353634
73.9,-1.990705719,0.2053548804
74,-1.962156166,0.3616406483
74.1,-1.919099748,0.4962644275
74.2,-1.863472214,0.6138087122
74.3,-1.796764668,0.718536293
74.4,-1.720066141,0.8142111145
74.5,-1.634115744,0.9040702385
74.6,-1.539353589,0.9908691247
74.7,-1.435965532,1.076948938
74.8,-1.323920927,1.16429966
74.9,-1.203007093,1.254594592
75,-1.072858482,1.349185052
75.1,-0.932994063,1.449036387
75.2,-0.7828603112,1.554591535
75.3,-0.6218951155,1.665525387
75.4,-0.4496222166,1.780396001
75.5,-0.2657839131,1.896162367
75.6,-0.07052978059,2.007627279
75.7,0.135339673,2.1069334
75.8,0.3500967813,2.183365955
75.9,0.5708159148,2.223866622
76,0.7932113776,2.214674314
76.1,1.011701892,2.144208321
76.2,1.219807016,2.006659123
76.3,1.410882996,1.804909897
76.4,1.579048004,1.551168472
76.5,1.720018451,1.264557135
76.6,1.831582391,0.9665462746
76.7,1.913590988,0.6762420681
76.8,1.967551177,0.4073322985
76.9,1.996025155,0.1672738525
77,2.002042195,-0.04181763854
77.1,1.988643261,-0.2215278043
77.2,1.958594805,-0.3755191111
77.3,1.914246633,-0.5082954628
77.4,1.857490285,-0.6244226111
77.5,1.789775874,-0.7281197503
77.6,1.712156303,-0.8230995394
77.7,1.625339741,-0.9125500333
77.8,1.529739803,-0.9991830623
77.9,1.425519701,-1.085304206
78,1.312630399,-1.172871038
78.1,1.190841818,-1.263527448
78.2,1.059777577,-1.358591325
78.3,0.918945338,-1.458984641
78.4,0.7677894743,-1.56508797
78.5,0.6057502709,-1.676487363
78.6,0.4323659777,-1.791606986
78.7,0.2474099554,-1.90722346
78.8,0.0510830252,-2.017902162
78.9,-0.1557382064,-2.115509786
79,-0.37122009,-2.189068916
79.1,-0.5923102401,-2.225360244
79.2,-0.8145904957,-2.210688588
79.3,-1.032369519,-2.133872949
79.4,-1.239114295,-1.98984146
79.5,-1.428213424,-1.782397799
79.6,-1.593906997,-1.524570005
79.7,-1.732098282,-1.235925604
79.8,-1.840782618,-0.9378958466
79.9,-1.919993786,-0.6491613177
80,-1.971368056,-0.3828095356
