"time","temp","dtemp/dtime","state"
469,17.058600000000002,8.941399999999998,Heating
470,26.0,0.0,No heating
471,26.0,-2.6,No heating
472,23.4,-2.34,No heating
473,21.06,-2.106,No heating
474,18.954,-1.8954000000000002,Heating
475,17.058600000000002,8.941399999999998,Heating
476,26.0,0.0,No heating
477,26.0,-2.6,No heating
478,23.4,-2.34,No heating
479,21.06,-2.106,No heating
480,18.954,-1.8954000000000002,Heating
481,17.058600000000002,8.941399999999998,Heating
482,26.0,0.0,No heating
483,26.0,-2.6,No heating
484,23.4,-2.34,No heating
485,21.06,-2.106,No heating
486,18.954,-1.8954000000000002,Heating
487,17.058600000000002,8.941399999999998,Heating
488,26.0,0.0,No heating
489,26.0,-2.6,No heating
490,23.4,-2.34,No heating
491,21.06,-2.106,No heating
492,18.954,-1.8954000000000002,Heating
493,17.058600000000002,8.941399999999998,Heating
494,26.0,0.0,No heating
495,26.0,-2.6,No heating
496,23.4,-2.34,No heating
497,21.06,-2.106,No heating
498,18.954,-1.8954000000000002,Heating
499,17.058600000000002,8.941399999999998,Heating
500,26.0,0.0,No heating
501,26.0,-2.6,No heating
502,23.4,-2.34,No heating
503,21.06,-2.106,No heating
504,18.954,-1.8954000000000002,Heating
505,17.058600000000002,8.941399999999998,Heating
506,26.0,0.0,No heating
507,26.0,-2.6,No heating
508,23.4,-2.34,No heating
509,21.06,-2.106,No heating
510,18.954,-1.8954000000000002,Heating
511,17.058600000000002,8.941399999999998,Heating
512,26.0,0.0,No heating
513,26.0,-2.6,No heating
514,23.4,-2.34,No heating
515,21.06,-2.106,No heating
516,18.954,-1.8954000000000002,Heating
517,17.058600000000002,8.941399999999998,Heating
518,26.0,0.0,No heating
519,26.0,-2.6,No heating
520,23.4,-2.34,No heating
521,21.06,-2.106,No heating
522,18.954,-1.8954000000000002,Heating
523,17.058600000000002,8.941399999999998,Heating
524,26.0,0.0,No heating
525,26.0,-2.6,No heating
526,23.4,-2.34,No heating
527,21.06,-2.106,No heating
528,18.954,-1.8954000000000002,Heating
529,17.058600000000002,8.941399999999998,Heating
530,26.0,0.0,No heating
531,26.0,-2.6,No heating
532,23.4,-2.34,No heating
533,21.06,-2.106,No heating
534,18.954,-1.8954000000000002,Heating
535,17.058600000000002,8.941399999999998,Heating
536,26.0,0.0,No heating
537,26.0,-2.6,No heating
538,23.4,-2.34,No heating
539,21.06,-2.106,No heating
540,18.954,-1.8954000000000002,Heating
541,17.058600000000002,8.941399999999998,Heating
542,26.0,0.0,No heating
543,26.0,-2.6,No heating
544,23.4,-2.34,No heating
545,21.06,-2.106,No heating
546,18.954,-1.8954000000000002,Heating
547,17.058600000000002,8.941399999999998,Heating
548,26.0,0.0,No heating
549,26.0,-2.6,No heating
550,23.4,-2.34,No heating
551,21.06,-2.106,No heating
552,18.954,-1.8954000000000002,Heating
553,17.058600000000002,8.941399999999998,Heating
554,26.0,0.0,No heating
555,26.0,-2.6,No heating
556,23.4,-2.34,No heating
557,21.06,-2.106,No heating
558,18.954,-1.8954000000000002,Heating
559,17.058600000000002,8.941399999999998,Heating
560,26.0,0.0,No heating
561,26.0,-2.6,No heating
562,23.4,-2.34,No heating
563,21.06,-2.106,No heating
564,18.954,-1.8954000000000002,Heating
565,17.058600000000002,8.941399999999998,Heating
566,26.0,0.0,No heating
567,26.0,-2.6,No heating
568,23.4,-2.34,No heating
569,21.06,-2.106,No heating
570,18.954,-1.8954000000000002,Heating
571,17.058600000000002,8.941399999999998,Heating
572,26.0,0.0,No heating
573,26.0,-2.6,No heating
574,23.4,-2.34,No heating
575,21.06,-2.106,No heating
576,18.954,-1.8954000000000002,Heating
577,17.058600000000002,8.941399999999998,Heating
578,26.0,0.0,No heating
579,26.0,-2.6,No heating
580,23.4,-2.34,No heating
581,21.06,-2.106,No heating
582,18.954,-1.8954000000000002,Heating
583,17.058600000000002,8.941399999999998,Heating
584,26.0,0.0,No heating
585,26.0,-2.6,No heating
586,23.4,-2.34,No heating
587,21.06,-2.106,No heating
588,18.954,-1.8954000000000002,Heating
589,17.058600000000002,8.941399999999998,Heating
590,26.0,0.0,No heating
591,26.0,-2.6,No heating
592,23.4,-2.34,No heating
593,21.06,-2.106,No heating
594,18.954,-1.8954000000000002,Heating
595,17.058600000000002,8.941399999999998,Heating
596,26.0,0.0,No heating
597,26.0,-2.6,No heating
598,23.4,-2.34,No heating
599,21.06,-2.106,No heating
600,18.954,-1.8954000000000002,Heating
601,17.058600000000002,8.941399999999998,Heating
602,26.0,0.0,No heating
603,26.0,-2.6,No heating
604,23.4,-2.34,No heating
605,21.06,-2.106,No heating
606,18.954,-1.8954000000000002,Heating
607,17.058600000000002,8.941399999999998,Heating
608,26.0,0.0,No heating
609,26.0,-2.6,No heating
610,23.4,-2.34,No heating
611,21.06,-2.106,No heating
612,18.954,-1.8954000000000002,Heating
613,17.058600000000002,8.941399999999998,Heating
614,26.0,0.0,No heating
615,26.0,-2.6,No heating
616,23.4,-2.34,No heating
617,21.06,-2.106,No heating
618,18.954,-1.8954000000000002,Heating
619,17.058600000000002,8.941399999999998,Heating
620,26.0,0.0,No heating
621,26.0,-2.6,No heating
622,23.4,-2.34,No heating
623,21.06,-2.106,No heating
624,18.954,-1.8954000000000002,Heating
625,17.058600000000002,8.941399999999998,Heating
626,26.0,0.0,No heating
627,26.0,-2.6,No heating
628,23.4,-2.34,No heating
629,21.06,-2.106,No heating
630,18.954,-1.8954000000000002,Heating
631,17.058600000000002,8.941399999999998,Heating
632,26.0,0.0,No heating
633,26.0,-2.6,No heating
634,23.4,-2.34,No heating
635,21.06,-2.106,No heating
636,18.954,-1.8954000000000002,Heating
637,17.058600000000002,8.941399999999998,Heating
638,26.0,0.0,No heating
639,26.0,-2.6,No heating
640,23.4,-2.34,No heating
641,21.06,-2.106,No heating
642,18.954,-1.8954000000000002,Heating
643,17.058600000000002,8.941399999999998,Heating
644,26.0,0.0,No heating
645,26.0,-2.6,No heating
646,23.4,-2.34,No heating
647,21.06,-2.106,No heating
648,18.954,-1.8954000000000002,Heating
649,17.058600000000002,8.941399999999998,Heating
650,26.0,0.0,No heating
651,26.0,-2.6,No heating
652,23.4,-2.34,No heating
653,21.06,-2.106,No heating
654,18.954,-1.8954000000000002,Heating
655,17.058600000000002,8.941399999999998,Heating
656,26.0,0.0,No heating
657,26.0,-2.6,No heating
658,23.4,-2.34,No heating
